"Cookie Settings","Configurações dos Cookies"
"Content Settings","Configurações de Conteúdo"
"expire Cookie Agreement After (Days) *","Aceite dos Cookies expiram em quanto tempo (Dias)"
"Autohide Cookie Notice After (in seconds)","Ocultar faixa de cookies automaticamente em (segundos)"
"Notice Display Type","Tipo de Informativo"
"Accept Cookie OnScroll","Aceitar cookies ao Scrollar"
"Container Display Settings","Configurações de layout do Informativo (DEV)"
"When User closes The Notice","Quando o usuário fecha o aviso"
"Accept cookies automatically after X seconds","Aceite cookies automaticamente após X segundos"
"Bar position","Posição da barra"
"Box position","Posição do Box"
"Enable / Disable","Habilitar / Desabilitar"
"Notice Type","Tipo de Informativo"
"Notice text","Texto do Informativo"
"Container Title","Titulo do Informativo"
"Accept Button text","Texto do botão Aceitar"
"Deny Button text","Texto do botão Negar"
"Privacy Policy Button text","Texto do botão Política"
"Open Tab In Window","Abrir em janela"
"Privacy Policy Redirect Information Page","Página de informações de redirecionamento"